Время [c],Напряжение[B]
0.8905,1.9431
0.8912,1.9380
0.8919,1.9329
0.8926,1.9329
0.8932,1.9329
0.8939,1.9380
0.8946,1.9431
0.8953,1.9431
0.8960,1.9431
0.8967,1.9380
0.8974,1.9380
0.8980,1.9329
0.8988,1.9380
0.8994,1.9329
0.9002,1.9329
0.9009,1.9431
0.9016,1.9431
0.9023,1.9380
0.9030,1.9431
0.9038,1.9431
0.9045,1.9329
0.9052,1.9329
0.9059,1.9380
0.9066,1.9279
0.9073,1.9380
0.9079,1.9380
0.9086,1.9329
0.9095,1.9380
0.9102,1.9329
0.9109,1.9380
0.9118,1.9380
0.9126,1.9329
0.9134,1.9329
0.9142,1.9329
0.9149,1.9380
0.9156,1.9380
0.9164,1.9380
0.9172,1.9380
0.9179,1.9380
0.9187,1.9329
0.9194,1.9380
0.9200,1.9279
0.9208,1.9329
0.9217,1.9380
0.9223,1.9380
0.9232,1.9329
0.9240,1.9380
0.9247,1.9431
0.9255,1.9279
0.9262,1.9380
0.9269,1.9380
0.9277,1.9380
0.9284,1.9329
0.9291,1.9279
0.9297,1.9279
0.9305,1.9279
0.9312,1.9380
0.9319,1.9329
0.9326,1.9279
0.9334,1.9380
0.9341,1.9279
0.9348,1.9380
0.9355,1.9329
0.9362,1.9329
0.9369,1.9380
0.9376,1.9329
0.9382,1.9380
0.9389,1.9380
0.9395,1.9329
0.9402,1.9279
0.9409,1.9380
0.9416,1.9329
0.9423,1.9380
0.9430,1.9279
0.9436,1.9380
0.9442,1.9329
0.9449,1.9329
0.9456,1.9380
0.9463,1.9380
0.9470,1.9329
0.9476,1.9279
0.9483,1.9279
0.9489,1.9329
0.9495,1.9380
0.9500,1.9380
0.9506,1.9279
0.9511,1.9329
0.9517,1.9380
0.9523,1.9329
0.9529,1.9329
0.9534,1.9380
0.9540,1.9329
0.9545,1.9329
0.9551,1.9329
0.9556,1.9279
0.9562,1.9279
0.9567,1.9329
0.9573,1.9380
0.9578,1.9279
0.9584,1.9329
0.9590,1.9279
0.9596,1.9329
0.9603,1.9329
0.9608,1.9329
0.9614,1.9228
0.9621,1.9329
0.9628,1.9329
0.9635,1.9380
0.9642,1.9329
0.9652,1.9279
0.9658,1.9279
0.9664,1.9380
0.9670,1.9279
0.9676,1.9329
0.9682,1.9329
0.9689,1.9279
0.9696,1.9329
0.9702,1.9380
0.9708,1.9329
0.9714,1.9228
0.9719,1.9329
0.9725,1.9329
0.9732,1.9329
0.9738,1.9329
0.9745,1.9380
0.9752,1.9329
0.9759,1.9329
0.9765,1.9329
0.9772,1.9329
0.9778,1.9329
0.9785,1.9228
0.9792,1.9279
