Время [c],Напряжение[B]
0.4805,0.1877
0.4811,0.1877
0.4818,0.1826
0.4824,0.1826
0.4830,0.1776
0.4837,0.1826
0.4843,0.1877
0.4850,0.1826
0.4856,0.1877
0.4862,0.1877
0.4868,0.1826
0.4874,0.1826
0.4880,0.1826
0.4886,0.1826
0.4893,0.1826
0.4900,0.1877
0.4906,0.1826
0.4913,0.1776
0.4919,0.1928
0.4925,0.1776
0.4931,0.1877
0.4937,0.1877
0.4943,0.1877
0.4949,0.1877
0.4955,0.1877
0.4961,0.1877
0.4967,0.1826
0.4973,0.1826
0.4979,0.1877
0.4986,0.1826
0.4993,0.1826
0.5000,0.1776
0.5007,0.1826
0.5014,0.1826
0.5021,0.1877
0.5028,0.1826
0.5035,0.1877
0.5042,0.1826
0.5049,0.1826
0.5056,0.1877
0.5062,0.1877
0.5069,0.1877
0.5075,0.1877
0.5082,0.1877
0.5089,0.1776
0.5096,0.1776
0.5103,0.1826
0.5110,0.1826
0.5117,0.1826
0.5123,0.1826
0.5130,0.1826
0.5137,0.1877
0.5144,0.1826
0.5151,0.1877
0.5158,0.1877
0.5165,0.1826
0.5172,0.1826
0.5179,0.1826
0.5185,0.1826
0.5192,0.1826
0.5199,0.1877
0.5206,0.1877
0.5213,0.1877
0.5220,0.1877
0.5227,0.1826
0.5234,0.1826
0.5241,0.1826
0.5248,0.1826
0.5255,0.1826
0.5262,0.1776
0.5269,0.1826
0.5276,0.1877
0.5283,0.1826
0.5290,0.1776
0.5297,0.1826
0.5304,0.1877
0.5312,0.1826
0.5319,0.1776
0.5326,0.1877
0.5333,0.1826
0.5340,0.1826
0.5347,0.1826
0.5353,0.1877
0.5360,0.1826
0.5367,0.1826
0.5374,0.1826
0.5381,0.1826
0.5388,0.1826
0.5395,0.1776
0.5401,0.1826
0.5408,0.1877
0.5415,0.1826
0.5422,0.1776
0.5428,0.1776
0.5435,0.1826
0.5442,0.1877
0.5449,0.1776
0.5456,0.1776
0.5462,0.1877
0.5469,0.1826
0.5476,0.1776
0.5483,0.1826
0.5490,0.1776
0.5497,0.1877
0.5504,0.1826
0.5510,0.1877
0.5517,0.1826
0.5524,0.1826
0.5531,0.1826
0.5538,0.1877
0.5545,0.1776
0.5552,0.1877
0.5559,0.1826
0.5566,0.1826
0.5573,0.1776
0.5580,0.1826
0.5587,0.1826
0.5594,0.1877
0.5601,0.1826
0.5607,0.1826
0.5614,0.1776
0.5622,0.1776
0.5628,0.1826
0.5635,0.1776
0.5642,0.1776
0.5649,0.1877
0.5655,0.1776
0.5663,0.1826
0.5670,0.1877
0.5676,0.1826
0.5683,0.1826
0.5690,0.1826
0.5697,0.1776
0.5704,0.1776
0.5711,0.1776
0.5719,0.1826
0.5725,0.1877
0.5732,0.1826
0.5739,0.1826
0.5746,0.1877
0.5752,0.1826
0.5759,0.1826
0.5766,0.1776
0.5773,0.1826
0.5780,0.1826
0.5787,0.1826
0.5794,0.1826
0.5800,0.1826
0.5807,0.1776
0.5814,0.1776
0.5821,0.1826
0.5828,0.1776
0.5834,0.1826
0.5841,0.1826
0.5848,0.1826
0.5855,0.1776
0.5861,0.1826
0.5868,0.1826
0.5875,0.1826
0.5882,0.1877
0.5889,0.1826
0.5896,0.1826
0.5903,0.1826
0.5910,0.1826
0.5916,0.1826
0.5923,0.1826
0.5930,0.1826
0.5937,0.1877
0.5944,0.1776
0.5951,0.1826
0.5957,0.1776
0.5965,0.1826
0.5971,0.1776
0.5978,0.1877
0.5989,0.1826
0.5999,0.1826
0.6009,0.1826
0.6017,0.1776
0.6027,0.1826
0.6034,0.1826
0.6041,0.1826
0.6050,0.1776
0.6059,0.1826
0.6069,0.1826
0.6078,0.1826
0.6086,0.1826
0.6095,0.1826
0.6104,0.1877
0.6112,0.1826
0.6119,0.1776
0.6126,0.1877
0.6133,0.1776
0.6140,0.1776
0.6148,0.1826
0.6157,0.1776
0.6167,0.1776
0.6176,0.1776
0.6183,0.1826
0.6191,0.1776
0.6199,0.1826
0.6208,0.1776
0.6217,0.1877
0.6224,0.1776
0.6233,0.1776
0.6241,0.1776
0.6249,0.1776
0.6256,0.1776
0.6263,0.1776
0.6270,0.1776
0.6279,0.1826
0.6286,0.1877
0.6295,0.1877
0.6302,0.1776
0.6310,0.1776
0.6318,0.1826
0.6326,0.1776
0.6333,0.1776
0.6341,0.1826
0.6348,0.1877
0.6357,0.1826
0.6364,0.1776
0.6373,0.1826
0.6381,0.1776
0.6389,0.1877
0.6397,0.1826
0.6405,0.1776
0.6413,0.1877
0.6420,0.1826
0.6428,0.1826
0.6435,0.1826
0.6443,0.1826
0.6450,0.1776
0.6458,0.1826
0.6465,0.1826
0.6473,0.1826
0.6480,0.1826
0.6488,0.1776
0.6496,0.1776
0.6504,0.1776
0.6512,0.1776
0.6521,0.1826
0.6529,0.1826
0.6538,0.1776
0.6546,0.1826
0.6552,0.1776
0.6560,0.1826
0.6567,0.1776
0.6574,0.1776
0.6581,0.1776
0.6588,0.1776
0.6595,0.1776
0.6602,0.1776
0.6609,0.1826
0.6616,0.1776
0.6623,0.1776
0.6630,0.1776
0.6637,0.1826
0.6644,0.1877
0.6651,0.1725
0.6657,0.1826
0.6664,0.1826
0.6671,0.1826
0.6678,0.1776
0.6685,0.1776
0.6693,0.1725
0.6700,0.1826
0.6707,0.1826
0.6714,0.1826
0.6721,0.1776
0.6728,0.1776
0.6736,0.1826
0.6743,0.1776
0.6750,0.1776
0.6757,0.1826
0.6765,0.1776
0.6772,0.1776
0.6779,0.1826
0.6786,0.1826
0.6793,0.1776
0.6800,0.1776
0.6808,0.1776
0.6815,0.1776
0.6822,0.1776
0.6830,0.1826
0.6837,0.1826
0.6845,0.1826
0.6852,0.1725
0.6859,0.1826
0.6867,0.1826
0.6874,0.1776
0.6881,0.1826
0.6889,0.1826
0.6896,0.1776
0.6903,0.1826
0.6911,0.1776
0.6918,0.1826
0.6925,0.1776
0.6933,0.1776
0.6940,0.1776
0.6947,0.1776
0.6956,0.1776
0.6966,0.1776
0.6976,0.1826
0.6985,0.1826
0.6993,0.1776
0.7000,0.1776
0.7008,0.1776
0.7017,0.1776
0.7026,0.1826
0.7036,0.1826
0.7046,0.1826
0.7056,0.1776
0.7066,0.1776
0.7076,0.1776
0.7086,0.1776
0.7095,0.1776
0.7105,0.1776
0.7115,0.1826
0.7126,0.1826
0.7135,0.1776
0.7143,0.1776
0.7150,0.1776
0.7158,0.1826
0.7167,0.1776
0.7178,0.1826
0.7185,0.1776
0.7193,0.1826
0.7200,0.1776
0.7208,0.1826
0.7215,0.1776
0.7222,0.1776
0.7230,0.1826
0.7237,0.1725
0.7244,0.1776
0.7251,0.1776
0.7258,0.1776
0.7267,0.1826
0.7277,0.1776
0.7285,0.1826
0.7295,0.1826
0.7304,0.1776
0.7312,0.1826
0.7321,0.1776
0.7330,0.1826
0.7338,0.1776
0.7347,0.1826
0.7356,0.1776
0.7366,0.1776
0.7375,0.1776
0.7384,0.1776
0.7393,0.1725
0.7402,0.1776
0.7409,0.1776
0.7416,0.1776
0.7424,0.1826
0.7432,0.1826
0.7439,0.1826
0.7446,0.1776
0.7453,0.1776
0.7460,0.1776
0.7467,0.1826
0.7474,0.1826
0.7482,0.1725
0.7490,0.1776
0.7497,0.1776
0.7505,0.1776
0.7511,0.1725
0.7518,0.1725
0.7525,0.1776
0.7533,0.1826
0.7540,0.1826
0.7547,0.1776
0.7554,0.1826
0.7561,0.1826
0.7568,0.1776
0.7575,0.1725
0.7582,0.1776
0.7590,0.1776
0.7597,0.1776
0.7604,0.1826
0.7612,0.1776
0.7619,0.1776
0.7626,0.1826
0.7634,0.1776
0.7641,0.1776
0.7648,0.1776
0.7655,0.1776
0.7663,0.1776
0.7670,0.1725
0.7678,0.1776
0.7685,0.1826
0.7692,0.1725
0.7699,0.1725
0.7707,0.1776
0.7714,0.1725
0.7721,0.1725
0.7728,0.1776
0.7735,0.1776
0.7742,0.1776
0.7749,0.1826
0.7757,0.1776
0.7764,0.1776
0.7771,0.1776
0.7778,0.1776
0.7785,0.1776
0.7792,0.1776
0.7800,0.1776
0.7807,0.1776
0.7814,0.1776
0.7821,0.1776
0.7829,0.1776
0.7836,0.1776
0.7844,0.1725
0.7851,0.1776
0.7858,0.1776
0.7865,0.1776
0.7873,0.1776
0.7880,0.1776
0.7889,0.1826
0.7897,0.1776
0.7905,0.1776
0.7912,0.1776
0.7920,0.1725
0.7927,0.1776
0.7934,0.1776
0.7942,0.1776
0.7949,0.1776
0.7956,0.1725
0.7963,0.1725
0.7971,0.1725
0.7978,0.1725
0.7985,0.1725
0.7993,0.1776
0.8000,0.1776
0.8007,0.1776
0.8014,0.1776
0.8021,0.1776
0.8028,0.1725
0.8036,0.1776
0.8043,0.1776
0.8050,0.1826
0.8057,0.1776
0.8064,0.1776
0.8071,0.1776
0.8079,0.1725
0.8086,0.1776
0.8094,0.1725
0.8101,0.1776
0.8109,0.1826
0.8116,0.1725
0.8124,0.1725
0.8131,0.1776
0.8139,0.1776
0.8146,0.1776
0.8154,0.1776
0.8162,0.1725
0.8170,0.1826
0.8177,0.1776
0.8186,0.1776
0.8194,0.1776
0.8202,0.1776
0.8210,0.1725
0.8218,0.1776
0.8227,0.1776
0.8235,0.1826
0.8242,0.1776
0.8251,0.1826
0.8260,0.1725
0.8268,0.1725
0.8275,0.1826
0.8284,0.1725
0.8291,0.1725
0.8299,0.1725
0.8306,0.1776
0.8313,0.1776
0.8320,0.1776
0.8328,0.1776
0.8335,0.1776
0.8342,0.1725
0.8349,0.1725
0.8357,0.1776
0.8366,0.1776
0.8373,0.1725
0.8380,0.1776
0.8387,0.1826
0.8394,0.1725
0.8401,0.1776
0.8408,0.1725
0.8415,0.1725
0.8422,0.1776
0.8430,0.1725
0.8439,0.1776
0.8447,0.1776
0.8454,0.1725
0.8462,0.1725
0.8470,0.1776
0.8477,0.1725
0.8484,0.1776
0.8491,0.1725
0.8498,0.1725
0.8506,0.1776
0.8513,0.1776
0.8520,0.1725
0.8527,0.1725
0.8534,0.1776
0.8541,0.1776
0.8549,0.1725
0.8557,0.1725
0.8564,0.1725
0.8572,0.1826
0.8579,0.1826
0.8586,0.1725
0.8592,0.1776
0.8599,0.1725
0.8606,0.1674
0.8613,0.1725
0.8620,0.1725
0.8626,0.1725
0.8633,0.1776
0.8640,0.1776
0.8646,0.1725
0.8653,0.1725
0.8659,0.1826
0.8666,0.1776
0.8673,0.1725
0.8680,0.1776
0.8686,0.1776
0.8693,0.1725
0.8700,0.1776
0.8707,0.1725
0.8713,0.1776
0.8720,0.1725
0.8727,0.1776
0.8733,0.1826
0.8740,0.1725
0.8747,0.1725
0.8754,0.1725
0.8761,0.1725
0.8767,0.1776
0.8774,0.1725
0.8781,0.1776
0.8788,0.1725
0.8795,0.1725
0.8803,0.1776
0.8809,0.1725
0.8816,0.1725
0.8824,0.1725
0.8831,0.1776
0.8838,0.1725
0.8844,0.1776
0.8852,0.1776
0.8859,0.1725
0.8866,0.1725
0.8873,0.1826
0.8881,0.1776
0.8888,0.1725
0.8895,0.1725
0.8902,0.1725
0.8909,0.1776
0.8916,0.1725
0.8923,0.1725
0.8930,0.1725
0.8936,0.1776
0.8943,0.1725
0.8950,0.1725
0.8957,0.1776
0.8964,0.1776
0.8971,0.1776
0.8978,0.1776
0.8985,0.1725
0.8992,0.1776
0.8999,0.1776
0.9006,0.1725
0.9013,0.1725
0.9021,0.1776
0.9028,0.1776
0.9035,0.1776
0.9042,0.1776
0.9049,0.1776
0.9056,0.1674
0.9063,0.1725
0.9069,0.1776
0.9076,0.1725
0.9084,0.1725
0.9091,0.1725
0.9098,0.1725
0.9105,0.1725
0.9112,0.1776
0.9119,0.1776
0.9126,0.1725
0.9133,0.1725
0.9140,0.1725
0.9146,0.1725
0.9153,0.1725
0.9160,0.1725
0.9168,0.1725
0.9174,0.1725
0.9181,0.1776
0.9188,0.1725
0.9195,0.1725
0.9203,0.1776
0.9210,0.1725
0.9217,0.1725
0.9223,0.1725
0.9230,0.1725
0.9237,0.1776
0.9244,0.1776
0.9251,0.1725
0.9258,0.1725
0.9265,0.1725
0.9272,0.1826
0.9279,0.1776
0.9286,0.1776
0.9293,0.1776
0.9300,0.1725
0.9307,0.1725
0.9314,0.1725
0.9321,0.1725
0.9328,0.1725
0.9334,0.1725
0.9342,0.1776
0.9349,0.1725
0.9356,0.1725
0.9362,0.1725
0.9369,0.1725
0.9376,0.1725
0.9383,0.1776
0.9391,0.1776
0.9397,0.1725
0.9404,0.1776
0.9411,0.1674
0.9418,0.1725
0.9425,0.1725
0.9431,0.1725
0.9438,0.1776
0.9445,0.1776
0.9452,0.1725
0.9459,0.1725
0.9466,0.1725
0.9473,0.1725
0.9480,0.1725
0.9487,0.1776
0.9494,0.1725
0.9501,0.1776
0.9508,0.1725
0.9515,0.1725
0.9522,0.1725
0.9528,0.1725
0.9536,0.1725
0.9543,0.1725
0.9550,0.1674
0.9556,0.1776
0.9563,0.1725
0.9570,0.1725
0.9577,0.1725
0.9584,0.1725
0.9591,0.1776
0.9598,0.1725
0.9604,0.1725
0.9611,0.1674
0.9619,0.1776
0.9625,0.1674
0.9633,0.1674
0.9640,0.1776
0.9647,0.1725
0.9653,0.1725
0.9661,0.1725
0.9668,0.1725
0.9675,0.1725
0.9681,0.1725
0.9689,0.1725
0.9696,0.1725
0.9703,0.1725
0.9710,0.1725
0.9716,0.1776
0.9723,0.1725
0.9730,0.1725
0.9738,0.1725
0.9747,0.1674
0.9754,0.1725
0.9764,0.1776
0.9774,0.1725
0.9782,0.1674
0.9790,0.1725
0.9800,0.1725
0.9809,0.1725
0.9818,0.1725
0.9828,0.1725
0.9836,0.1776
0.9846,0.1776
0.9854,0.1725
0.9863,0.1725
0.9870,0.1725
0.9878,0.1725
0.9885,0.1776
0.9893,0.1725
0.9901,0.1674
0.9910,0.1725
0.9920,0.1725
0.9929,0.1725
0.9937,0.1725
0.9946,0.1776
0.9955,0.1776
0.9963,0.1725
0.9972,0.1725
0.9981,0.1725
0.9991,0.1674
1.0000,0.1725
1.0008,0.1725
1.0015,0.1725
1.0022,0.1725
1.0030,0.1776
1.0038,0.1725
1.0045,0.1725
1.0053,0.1776
1.0060,0.1674
1.0068,0.1674
1.0076,0.1725
1.0084,0.1725
1.0093,0.1725
1.0102,0.1776
1.0110,0.1776
1.0117,0.1725
1.0124,0.1725
1.0132,0.1725
1.0139,0.1674
1.0146,0.1725
1.0155,0.1674
1.0166,0.1725
1.0178,0.1725
1.0185,0.1725
1.0192,0.1725
1.0199,0.1725
1.0209,0.1725
